Language;Translation;Group
/m/02h40lc;English Language;English
/m/0x82;Afrikaans Language;Afrikaans
/m/06nm1;Spanish Language;Spanish
/m/02hwhyv;Korean Language;Korean
/m/012psb;Romani language;Romani
/m/02bjrlw;Italian Language;Italian
/m/06x8y;Serbo-Croatian;Serbo-Croatian
/m/01bkv;Bulgarian Language;Bulgarian
/m/0k0sb;Serbian language;Serbian
/m/04306rv;German Language;German
/m/064_8sq;French Language;French
/m/0653m;Standard Mandarin;Mandarin
/m/0459q4;Standard Cantonese;Cantonese
/m/012w70;Cantonese;Cantonese
/m/0349s;Greek Language;Greek
/m/02hwyss;Turkish Language;Turkish
/m/06b_j;Russian Language;Russian
/m/03_9r;Japanese Language;Japanese
/m/01wgr;Czech Language;Czech
/m/06zvx;Slovak Language;Slovak
/m/0c_v2;Thai Language;Thai
/m/0jzc;Arabic Language;Arabic
/m/05qqm;Polish Language;Polish
/m/06ppq;Silent film;Silent film
/m/01lqm;Khmer language;Khmer
/m/02bv9;Dutch Language;Dutch
/m/0my5;American Sign Language;American Sign Language
/m/02hxc3j;Romanian Language;Romanian
/m/05zjd;Portuguese Language;Portuguese
/m/03hkp;Hebrew Language;Hebrew
/m/03k50;Hindi Language;Hindi
/m/0gndv;Zulu Language;Zulu
/m/04h9h;Latin Language;Latin
/m/01r2l;Chinese language;Chinese
/m/0t_2;American English;English
/m/03x42;Irish;Irish
/m/0b1g2;Kurdish language;Kurdish
/m/0880p;Yiddish Language;Yiddish
/m/071fb;Swahili Language;Swahili
/m/028xxn;Somali Language;Somali
/m/06mp7;Swedish Language;Swedish
/m/017yph;Navajo Language;Navajo
/m/0295r;Danish Language;Danish
/m/021s0r;Algonquin Language;Algonquin
/m/0ycv;Aramaic language;Aramaic
/m/07c9s;Tamil Language;Tamil
/m/02jcw;Esperanto Language;Esperanto
/m/0cjk9;Ukrainian Language;Ukrainian
/m/06b4d;Quechua;Quechua
/m/03vsxc;Maya, Yucatán Language;Maya, Yucatán
/m/03115z;Mandarin Chinese;Mandarin
/m/07zrf;Vietnamese Language;Vietnamese
/m/01c7y;Bengali Language;Bengali
/m/032f6;Persian Language;Persian
/m/0k0sv;Croatian language;Croatian
/m/070zw;Scottish Gaelic language;Scottish Gaelic
/m/083tk;Welsh Language;Welsh
/m/02ztjwg;Hungarian language;Hungarian
/m/01m69;Catalan language;Catalan
/m/05p2d;Old English language;English
/m/01gmkg;Icelandic Language;Icelandic
/m/0gsghz;Apache, Western Language;Apache
/m/02zj58;Brazilian Portuguese;Brazilian Portuguese
/m/0322q8;Inuktitut;Inuktitut
/m/02s2l;Estonian Language;Estonian
/m/02hxcvy;Urdu Language;Urdu
/m/01xrrm;Burmese Language;Burmese
/m/0xrg;Armenian Language;Armenian
/m/0148c4;Mongolian language;Mongolian
/m/01ncmg;Gaelic;Gaelic
/m/02drlb;Picard Language;Picard
/m/0y1mh;Malay Language;Malay
/m/0565z6;Sioux language;Sioux
/m/06dqgy;Pawnee Language;Pawnee
/m/0247v;Corsican Language;Corsican
/m/01gp_d;Finnish Language;Finnish
/m/0swlx;Pashto language;Pashto
/m/01v0fv;Friulian Language;Friulian
/m/04167hr;Aboriginal Malay languages;Aboriginal Malay
/m/05f_3;Norwegian Language;Norwegian
/m/0198z0;Chechen Language;Chechen
/m/02hwtky;Mende Language;Mende
/m/04w042;Assyrian Neo-Aramaic Language;Assyrian Neo-Aramaic
/m/0121sr;Gujarati Language;Gujarati
/m/0dds9;Māori language;Māori
/m/0gtg;????????????;
/m/06zvd;Slovenian language;Slovenian
/m/02hxr14;Egyptian, Ancient;Ancient Egyptian
/m/06x06;Sanskrit Language;Sanskrit
/m/01c44b;Min Nan;Min Nan
/m/0nl8g;Xhosa Language;Xhosa
/m/01307m;Ancient Greek;Ancient Greek
/m/02hwm04;Farsi, Western Language;Western Farsi
/m/01q5d9;Galician Language;Galician
/m/0jg5_;Tok Pisin Language;Tok Pisin
/m/03pmt;Hawaiian language;Hawaiian
/m/01kbdv;Tibetan languages;Tibetan
/m/02002f;Sinhala Language;Sinhala
/m/07qv_;Tagalog language;Tagalog
/m/01jb8r;Filipino language;Filipino
/m/02hx0gy;Sumerian;Sumerian
/m/014267;Georgian Language;Georgian
/m/0f8l9c;France;French
/m/01841n;Bosnian language;Bosnian
/m/06rt9;Swiss German Language;Swiss German
/m/0688f;Punjabi language;Punjabi
/m/02c_bf;Sicilian Language;Sicilian
/m/09w_t;Dari;Dari
/m/0dqhd;Cree language;Cree
/m/02hwwql;Korean Sign Language;Korean Sign Language
/m/01xls2;Kinyarwanda language;Kinyarwanda
/m/04mz4;Luxembourgish language;Luxembourgish
/m/03cqzc;Napoletano-Calabrese Language;Napoletano-Calabrese
/m/05ks5d;Krio Language;Krio
/m/04d36l;Saami, North Language;Sami
/m/034_x0;Sami languages;Sami
/m/02hwrpy;Wolof Language;Wolof
/m/02k30q;Shanghainese;Shanghainese
/m/0h0t4;Nepali Language;Nepali
/m/012v8;Albanian language;Albanian
/m/0v0s;Australian English;English
/m/038rz;German;German
/m/02hw_s_;Scanian Language;Scanian
/m/049ph;Klingon language;Klingon
/m/01vp3n;Sotho language;Sotho
/m/097kp;Indonesian Language;Indonesian
/m/04lx1w;Hmong language;Hmong
/m/09s02;Telugu language;Telugu
/m/055qm;Marathi Language;Marathi
/m/017dsl;Osetin Language;Osetin
/m/09y2k2;Italian;Italian
/m/0999q;Malayalam Language;Malayalam
/m/02fpb9;Chewa language;Chewa
/m/018tw7;Mohawk Language;Mohawk
/m/0g1jw;Taiwanese;Taiwanese
/m/0jfbz;Assyrian language;Assyrian
/m/0nj_l;Amharic Language;Amharic
/m/029lpz;Hopi Language;Hopi
/m/01_5gm;Papiamento language;Papiamento
/m/04h3_d;Tzotzil language;Tzotzil
/m/05hjc;Nahuatl languages;Nahuatl
/m/0ccy2f;Kuna language;Kuna
/m/064r7fk;Standard Tibetan;Tibetan
