Ethnicity ID;Translation;Ethnicity;Country of Origin
/m/041rx;Jewish;Jewish;Jewish
/m/0x67;African Americans;African Americans;United States of America
/m/0dryh9k;Indians;Indians;India
/m/02w7gg;English;British;United Kingdom
/m/033tf_;Irish Americans;European Americans;United States of America
/m/0xnvg; Italian Americans;European Americans;United States of America
/m/07hwkr;White Americans;European Americans;United States of America
/m/07bch9;Scottish Americans;European Americans;United States of America
/m/02ctzb;White;;
/m/044038p;;;
/m/03bkbh;Irish;British;United Kingdom
/m/0d7wh;British;British;United Kingdom
/m/03lmx1;Scottish;British;United Kingdom
/m/01qhm_;German Americans;European Americans;United States of America
/m/048z7l;Jewish Americans;Jewish Americans;United States of America
/m/065b6q;Swedish Americans;European Americans;United States of America
/m/03ts0c;French;French;France
/m/0222qb;Italians;Italians;Italy
/m/02sch9;Punjabis;Indians, Pakistanis;India, Pakistan
/m/0g8_vp;Canadian Americans;Canadians;Canada
/m/09vc4s;English Americans;European Americans;United States of America
/m/0bpjh3;Bengali;Bengali;India, Bangladesh
/m/06mvq;Swedes;Swedes;Sweden
/m/01g7zj;Mexican Americans;Hispanic and Latino Americans;United States of America
/m/07mqps;Dutch Americans;European Americans;United States of America
/m/01xhh5;Koreans;Koreans;Korea
/m/03bx0k4;Hongkongers;Hongkongers;Hongkong
/m/06gbnc;Welsh;British;United Kingdom
/m/02g7sp;Irish migration to Great Britain;British;United Kingdom
/m/013xrm;Germans;Germans;Germany
/m/063k3h;Scotch-Irish Americans;European Americans;United States of America
/m/04mvp8;Malayali;Indians;India
/m/09kr66;Russian Americans;European Americans;United States of America
/m/0g96wd;White British;British;United Kingdom
/m/038723;Greek Americans;European Americans;United States of America
/m/0cqgdq;Marathi;Indians;India
/m/022dp5;Polish Americans;European Americans;United States of America
/m/042gtr;Spanish Americans;European Americans;United States of America
/m/03vv99;British Americans;European Americans;United States of America
/m/025rpb0;Hispanic and Latino Americans;Hispanic and Latino Americans;United States of America
/m/0cnvdq1;Scandinavian Americans;European Americans;United States of America
/m/0d2by;Chinese Americans;Asian Americans;United States of America
/m/0cmdl5l;Tamil Brahmin;Indians;India
/m/09m6hr;Telugu;Indians;India
/m/0g0x7_;Gujarati;Indians;India
/m/06v41q;French Americans;European Americans;United States of America
/m/03ttfc;Spaniards;Spanish;Spain
/m/019kn7;Japanese;Japanese;Japan
/m/09v5bdn;Puerto Ricans;Puerto Ricans;Puerto Rico
/m/08hpk0; Hungarian Americans;European Americans;United States of America
/m/09k5jvk;Mexicans;Mexicans;Mexico
/m/02rbdlq;Scottish Canadians;European Canadians;Canada
/m/01rv7x;Tamil;Indians, Singapourians;India, Singapour
/m/0583cz;Kayastha;Indians;India
/m/0fqz6;Cajun;European Americans;United States of America
/m/027n1m6;Slovak Americans;European Americans;United States of America
