Country;Translation;Group
/m/09c7w0;United States of America;United States of America
/m/07ssc;United Kingdom;United Kingdom
/m/0hzlz;South Africa;South Africa
/m/0b90_r;Mexico;Mexico
/m/06qd3;South Korea;South Korea
/m/0f8l9c;France;France
/m/087vz;Yugoslavia;Yugoslavia
/m/0345h;Germany;Germany
/m/03rt9;Ireland;United Kingdom
/m/03h64;Hong Kong;Hong Kong
/m/0d05w3;China;China
/m/03rjj;Italy;Italy
/m/0d060g;Canada;Canada
/m/035qy;Greece;Greece
/m/06mkj;Spain;Spain
/m/03_3d;Japan;Japan
/m/0chghy;Australia;Australia
/m/06mzp;Switzerland;Switzerland
/m/05qhw;Poland;Poland
/m/07ylj;Venezuela;Venezuela
/m/01crd5;Vietnam;Vietnam
/m/0ctw_b;New Zealand;New Zealand
/m/05b4w;Norway;Norway
/m/03rk0;India;India
/m/059j2;Netherlands;Netherlands
/m/0h7x;Austria;Austria
/m/0k6nt;Denmark;Denmark
/m/0d0vqn;Sweden;Sweden
/m/06c1y;Romania;Romania
/m/06npd;Slovakia;Slovakia
/m/03gj2;Hungary;Hungary
/m/01mjq;Czech Republic;Czech Republic
/m/04hqz;Lebanon;Lebanon
/m/01znc_;Turkey;Turkey
/m/06bnz;Russia;Russia
/m/07hj4m;Slovak Republic;Slovakia
/m/0jgd;Argentina;Argentina
/m/048fz;Korea;South Korea
/m/03_r3;Jamaica;Jamaica
/m/07twz;Uruguay;Uruguay
/m/0154j;Belgium;Belgium
/m/082fr;West Germany;Germany
/m/015fr;Brazil;Brazil
/m/04v3q;Malta;Malta
/m/06f32;Taiwan;Taiwan
/m/06t2t;Singapore;Singapore
/m/03rj0;Iceland;Iceland
/m/06swt;Serbia and Montenegro;Serbia, Montenegro
/m/015qh;Bulgaria;Bulgaria
/m/077qn;Serbia;Serbia
/m/0166b;Bosnia and Herzegovina;Bosnia and Herzegovina
/m/014tss;Kingdom of Great Britain;United Kingdom
/m/03shp;Iran;Iran
/m/084n_;Weimar Republic;Germany
/m/04wgh;Morocco;Morocco
/m/03spz;Israel;Israel
/m/0697s;Qatar;Qatar
/m/07fj_;Tunisia;Tunisia
/m/05v8c;Philippines;Philippines
/m/04g61;Luxembourg;Luxembourg
/m/047yc;Kuwait;Kuwait
/m/0j1z8;United Arab Emirates;United Arab Emirates
/m/02k54;Egypt;Egypt
/m/07f1x;Thailand;Thailand
/m/02jx1;England;United Kingdom
/m/04w8f;Mongolia;Mongolia
/m/02vzc;Finland;Finland
/m/06q1r;Scotland;Scotland
/m/09pmkv;Malaysia;Malaysia
/m/03ryn;Indonesia;Indonesia
/m/05qx1;Panama;Panama
/m/0h3y;Algeria;Algeria
/m/03t1s;Isle of Man;Isle of Man
/m/016wzw;Peru;Peru
/m/05r4w;Portugal;Portugal
/m/01rhrd;Socialist Federal Republic of Yugoslavia;Yugoslavia
/m/01ls2;Colombia;Colombia
/m/07t21;Ukraine;Ukraine
/m/01pj7;Croatia;Croatia
/m/05vz3zq;Soviet Union;Russia, Ukraine, Belarus, Moldova, Lithuania, Latvia, Estonia, Georgia, Armenia, Azerbaijan, Kazakhstan, Uzbekistan, Kyrgyzstan, Tajikistan, and Turkmenistan
/m/04gzd;Lithuania;Lithuania
/m/088q4;Zimbabwe;Zimbabwe
/m/0160w;Bahamas;Bahamas
/m/05sb1;Pakistan;Pakistan
/m/0jdd;Afghanistan;Afghanistan
/m/019rg5;Kenya;Kenya
/m/05cgv;Nigeria;Nigeria
/m/05r7t;Puerto Rico;Puerto Rico
/m/04gqr;Libya;Libya
